competitorname,chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,sugarpercent,pricepercent,winpercent,ingredient_combinations,form_combinations,combination,sugarpercent_squared,chocolate:peanutyalmondy,chocolate:crispedricewafer,chocolate:caramel,sugarpercent_cubed,pricepercent_centered,price_category_medium,price_category_high,price_category_very_high,pricepercent:fruity,pricepercent:chocolate,pricepercent:caramel,pricepercent:chocolate:peanutyalmondy,pricepercent:chocolate:crispedricewafer,sugarpercent_squared:pricepercent,pricepercent:hard,pricepercent:bar,pricepercent:pluribus
Peanut butter M&M's,1,0,0,1,0,0,0,0,1,0.82499999,0.65100002,0.7146505000000001,chocolate+peanutyalmondy,pluribus,pluribus,0.6806249835000001,1,0,0,0.5615156045812503,0.1783735141927711,0,1,0,0.0,0.65100002,0.0,0.65100002,0.0,0.44308687787099976,0.0,0.0,0.65100002
M&M's,1,0,0,0,0,0,0,0,1,0.82499999,0.65100002,0.66574585,chocolate,pluribus,pluribus,0.6806249835000001,0,0,0,0.5615156045812503,0.1783735141927711,0,1,0,0.0,0.65100002,0.0,0.0,0.0,0.44308687787099976,0.0,0.0,0.65100002
Mike & Ike,0,1,0,0,0,0,0,0,1,0.87199998,0.32499999,0.46411716,fruity,pluribus,pluribus,0.7603839651200004,0,0,0,0.663054802376961,-0.1476265158072289,1,0,0,0.32499999,0.0,0.0,0.0,0.0,0.24712478106016048,0.0,0.0,0.32499999
Milk Duds,1,0,1,0,0,0,0,0,1,0.30199999,0.51099998,0.5506407200000001,chocolate+caramel,pluribus,pluribus,0.0912039939600001,0,0,1,0.02754360526388009,0.038373474192771095,0,1,0,0.0,0.51099998,0.51099998,0.0,0.0,0.04660523908948017,0.0,0.0,0.51099998
Milky Way,1,0,1,0,1,0,0,1,0,0.60399997,0.65100002,0.7309955600000001,chocolate+caramel+nougat,bar,bar,0.36481596376000097,0,0,1,0.22034883116656168,0.1783735141927711,0,1,0,0.0,0.65100002,0.65100002,0.0,0.0,0.23749519970407992,0.0,0.65100002,0.0
Milky Way Midnight,1,0,1,0,1,0,0,1,0,0.73199999,0.44100001,0.60800701,chocolate+caramel+nougat,bar,bar,0.5358239853600002,0,0,1,0.3922231519252803,-0.03162649580722893,1,0,0,0.0,0.44100001,0.44100001,0.0,0.0,0.23629838290199995,0.0,0.44100001,0.0
Milky Way Simply Caramel,1,0,1,0,0,0,0,1,0,0.96499997,0.86000001,0.6435334,chocolate+caramel,bar,bar,0.931224942100001,0,0,1,0.8986320411897527,0.3873735041927711,0,0,1,0.0,0.86000001,0.86000001,0.0,0.0,0.8008534595182503,0.0,0.86000001,0.0
Mounds,1,0,0,0,0,0,0,1,0,0.31299999,0.86000001,0.47829754,chocolate,bar,bar,0.09796899374000011,0,0,0,0.030664294060930096,0.3873735041927711,0,0,1,0.0,0.86000001,0.0,0.0,0.0,0.08425333559609004,0.0,0.86000001,0.0
Mr Good Bar,1,0,0,1,0,0,0,1,0,0.31299999,0.91799998,0.54526451,chocolate+peanutyalmondy,bar,bar,0.09796899374000011,1,0,0,0.030664294060930096,0.4453734741927711,0,0,1,0.0,0.91799998,0.0,0.91799998,0.0,0.08993553429394023,0.0,0.91799998,0.0
Nerds,0,1,0,0,0,0,1,0,1,0.84799999,0.32499999,0.55354046,fruity,hard+pluribus,hard+pluribus,0.7191039830400001,0,0,0,0.6098001704268803,-0.1476265158072289,1,0,0,0.32499999,0.0,0.0,0.0,0.0,0.2337087872969602,0.32499999,0.0,0.32499999
Nestle Butterfinger,1,0,0,1,0,0,0,1,0,0.60399997,0.76700002,0.70735641,chocolate+peanutyalmondy,bar,bar,0.36481596376000097,1,0,0,0.22034883116656168,0.2943735141927711,0,0,1,0.0,0.76700002,0.0,0.76700002,0.0,0.27981385150024,0.0,0.76700002,0.0
Nestle Crunch,1,0,0,0,0,1,0,1,0,0.31299999,0.76700002,0.6647068,chocolate+crispedricewafer,bar,bar,0.09796899374000011,0,1,0,0.030664294060930096,0.2943735141927711,0,0,1,0.0,0.76700002,0.0,0.0,0.76700002,0.07514222015795996,0.0,0.76700002,0.0
Nik L Nip,0,1,0,0,0,0,0,0,1,0.197,0.97600001,0.22445341,fruity,pluribus,pluribus,0.038809,0,0,0,0.007645373000000001,0.5033735041927712,0,0,1,0.97600001,0.0,0.0,0.0,0.0,0.03787758438809,0.0,0.0,0.97600001
Now & Later,0,1,0,0,0,0,0,0,1,0.22,0.32499999,0.39446800000000004,fruity,pluribus,pluribus,0.0484,0,0,0,0.010648,-0.1476265158072289,1,0,0,0.32499999,0.0,0.0,0.0,0.0,0.015729999516,0.0,0.0,0.32499999
Payday,0,0,0,1,1,0,0,1,0,0.465,0.76700002,0.46296597,peanutyalmondy+nougat,bar,bar,0.21622500000000003,0,0,0,0.10054462500000001,0.2943735141927711,0,0,1,0.0,0.0,0.0,0.0,0.0,0.16584457932450003,0.0,0.76700002,0.0
Peanut M&Ms,1,0,0,1,0,0,0,0,1,0.59299999,0.65100002,0.69483788,chocolate+peanutyalmondy,pluribus,pluribus,0.3516489881400001,1,0,0,0.2085278464505302,0.1783735141927711,0,1,0,0.0,0.65100002,0.0,0.65100002,0.0,0.22892349831211983,0.0,0.0,0.65100002
Pixie Sticks,0,0,0,0,0,0,0,0,1,0.093000002,0.023,0.37722336,No Ingredients,pluribus,pluribus,0.008649000372000004,0,0,0,0.000804357051894001,-0.4496265058072289,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0001989270085560001,0.0,0.0,0.023
Pop Rocks,0,1,0,0,0,0,1,0,1,0.60399997,0.83700001,0.41265511,fruity,hard+pluribus,hard+pluribus,0.36481596376000097,0,0,0,0.22034883116656168,0.3643735041927711,0,0,1,0.83700001,0.0,0.0,0.0,0.0,0.30535096531528044,0.83700001,0.0,0.83700001
Red vines,0,1,0,0,0,0,0,0,1,0.58099997,0.116,0.37348522,fruity,pluribus,pluribus,0.33756096514000095,0,0,0,0.1961229106195116,-0.35662650580722893,0,0,0,0.116,0.0,0.0,0.0,0.0,0.03915707195624011,0.0,0.0,0.116
Reese's Miniatures,1,0,0,1,0,0,0,0,0,0.034000002,0.27900001,0.8186625700000001,chocolate+peanutyalmondy,No Form,None,0.0011560001360000041,1,0,0,3.9304006936000414e-05,-0.1936264958072289,1,0,0,0.0,0.27900001,0.0,0.27900001,0.0,0.00032252404950400255,0.0,0.0,0.0
Reese's Peanut Butter cup,1,0,0,1,0,0,0,0,0,0.72000003,0.65100002,0.8418029,chocolate+peanutyalmondy,No Form,None,0.5184000432000009,1,0,0,0.373248046656002,0.1783735141927711,0,1,0,0.0,0.65100002,0.0,0.65100002,0.0,0.33747843849120146,0.0,0.0,0.0
Reese's pieces,1,0,0,1,0,0,0,0,1,0.40599999,0.65100002,0.7343499,chocolate+peanutyalmondy,pluribus,pluribus,0.1648359918800001,1,0,0,0.06692341105492011,0.1783735141927711,0,1,0,0.0,0.65100002,0.0,0.65100002,0.0,0.1073082340105999,0.0,0.0,0.65100002
Reese's stuffed with pieces,1,0,0,1,0,0,0,0,0,0.98799998,0.65100002,0.72887901,chocolate+peanutyalmondy,No Form,None,0.9761439604800004,1,0,0,0.9644302134313611,0.1783735141927711,0,1,0,0.0,0.65100002,0.0,0.65100002,0.0,0.6354697377953595,0.0,0.0,0.0
Ring pop,0,1,0,0,0,0,1,0,0,0.73199999,0.96499997,0.35290756,fruity,hard,hard,0.5358239853600002,0,0,0,0.3922231519252803,0.4923734641927711,0,0,1,0.96499997,0.0,0.0,0.0,0.0,0.5170701297976806,0.96499997,0.0,0.0
Rolo,1,0,1,0,0,0,0,0,1,0.86000001,0.86000001,0.65716286,chocolate+caramel,pluribus,pluribus,0.7396000172000001,0,0,1,0.6360560221880004,0.3873735041927711,0,0,1,0.0,0.86000001,0.86000001,0.0,0.0,0.6360560221880003,0.0,0.0,0.86000001
Root Beer Barrels,0,0,0,0,0,0,1,0,1,0.73199999,0.068999998,0.29703691,No Ingredients,hard+pluribus,hard+pluribus,0.5358239853600002,0,0,0,0.3922231519252803,-0.4036265078072289,0,0,0,0.0,0.0,0.0,0.0,0.0,0.03697185391819205,0.068999998,0.0,0.068999998
Runts,0,1,0,0,0,0,1,0,1,0.87199998,0.27900001,0.42849144,fruity,hard+pluribus,hard+pluribus,0.7603839651200004,0,0,0,0.663054802376961,-0.1936264958072289,1,0,0,0.27900001,0.0,0.0,0.0,0.0,0.2121471338723198,0.27900001,0.0,0.27900001
Sixlets,1,0,0,0,0,0,0,0,1,0.22,0.081,0.34722000000000003,chocolate,pluribus,pluribus,0.0484,0,0,0,0.010648,-0.3916265058072289,0,0,0,0.0,0.081,0.0,0.0,0.0,0.0039204,0.0,0.0,0.081
Skittles original,0,1,0,0,0,0,0,0,1,0.94099998,0.22,0.6308514000000001,fruity,pluribus,pluribus,0.8854809623600003,0,0,0,0.833237567871141,-0.2526265058072289,0,0,0,0.22,0.0,0.0,0.0,0.0,0.19480581171920006,0.0,0.0,0.22
Skittles wildberry,0,1,0,0,0,0,0,0,1,0.94099998,0.22,0.55103695,fruity,pluribus,pluribus,0.8854809623600003,0,0,0,0.833237567871141,-0.2526265058072289,0,0,0,0.22,0.0,0.0,0.0,0.0,0.19480581171920006,0.0,0.0,0.22
Nestle Smarties,1,0,0,0,0,0,0,0,1,0.26699999,0.97600001,0.37887188,chocolate,pluribus,pluribus,0.0712889946600001,0,0,0,0.019034160861330085,0.5033735041927712,0,0,1,0.0,0.97600001,0.0,0.0,0.0,0.06957805950105005,0.0,0.0,0.97600001
Smarties candy,0,1,0,0,0,0,1,0,1,0.26699999,0.116,0.45995827,fruity,hard+pluribus,hard+pluribus,0.0712889946600001,0,0,0,0.019034160861330085,-0.35662650580722893,0,0,0,0.116,0.0,0.0,0.0,0.0,0.008269523380560013,0.116,0.0,0.116
Snickers,1,0,1,1,1,0,0,1,0,0.546,0.65100002,0.76673782,chocolate+caramel+peanutyalmondy+nougat,bar,bar,0.29811600000000005,1,0,1,0.16277133600000004,0.1783735141927711,0,1,0,0.0,0.65100002,0.65100002,0.65100002,0.0,0.19407352196232003,0.0,0.65100002,0.0
Snickers Crisper,1,0,1,1,0,1,0,1,0,0.60399997,0.65100002,0.59529251,chocolate+caramel+peanutyalmondy+crispedricewafer,bar,bar,0.36481596376000097,1,1,1,0.22034883116656168,0.1783735141927711,0,1,0,0.0,0.65100002,0.65100002,0.65100002,0.65100002,0.23749519970407992,0.0,0.65100002,0.0
Sour Patch Kids,0,1,0,0,0,0,0,0,1,0.068999998,0.116,0.5986399800000001,fruity,pluribus,pluribus,0.004760999724000005,0,0,0,0.00032850897143400093,-0.35662650580722893,0,0,0,0.116,0.0,0.0,0.0,0.0,0.0005522759679840006,0.0,0.0,0.116
Sour Patch Tricksters,0,1,0,0,0,0,0,0,1,0.068999998,0.116,0.52825947,fruity,pluribus,pluribus,0.004760999724000005,0,0,0,0.00032850897143400093,-0.35662650580722893,0,0,0,0.116,0.0,0.0,0.0,0.0,0.0005522759679840006,0.0,0.0,0.116
Starburst,0,1,0,0,0,0,0,0,1,0.15099999,0.22,0.6703762799999999,fruity,pluribus,pluribus,0.0228009969800001,0,0,0,0.0034429503159700454,-0.2526265058072289,0,0,0,0.22,0.0,0.0,0.0,0.0,0.0050162193356000214,0.0,0.0,0.22
Strawberry bon bons,0,1,0,0,0,0,1,0,1,0.56900001,0.057999998,0.34578991000000003,fruity,hard+pluribus,hard+pluribus,0.3237610113800001,0,0,0,0.18422001871283017,-0.41462650780722893,0,0,0,0.057999998,0.0,0.0,0.0,0.0,0.01877813801251798,0.057999998,0.0,0.057999998
Sugar Babies,0,0,1,0,0,0,0,0,1,0.96499997,0.76700002,0.3343755,caramel,pluribus,pluribus,0.931224942100001,0,0,0,0.8986320411897527,0.2943735141927711,0,0,1,0.0,0.0,0.76700002,0.0,0.0,0.7142495492151996,0.0,0.0,0.76700002
Sugar Daddy,0,0,1,0,0,0,0,0,0,0.41800001,0.32499999,0.32230995,caramel,No Form,None,0.17472400836000007,0,0,0,0.07303463724172012,-0.1476265158072289,1,0,0,0.0,0.0,0.32499999,0.0,0.0,0.05678530096975994,0.0,0.0,0.0
Super Bubble,0,1,0,0,0,0,0,0,0,0.162,0.116,0.27303865,fruity,No Form,None,0.026244,0,0,0,0.004251528,-0.35662650580722893,0,0,0,0.116,0.0,0.0,0.0,0.0,0.0030443040000000003,0.0,0.0,0.0
Swedish Fish,0,1,0,0,0,0,0,0,1,0.60399997,0.755,0.54861111,fruity,pluribus,pluribus,0.36481596376000097,0,0,0,0.22034883116656168,0.2823734941927711,0,0,1,0.755,0.0,0.0,0.0,0.0,0.2754360526388007,0.0,0.0,0.755
Tootsie Pop,1,1,0,0,0,0,1,0,0,0.60399997,0.32499999,0.48982651,chocolate+fruity,hard,hard,0.36481596376000097,0,0,0,0.22034883116656168,-0.1476265158072289,1,0,0,0.32499999,0.32499999,0.0,0.0,0.0,0.11856518457384069,0.32499999,0.0,0.0
Tootsie Roll Juniors,1,0,0,0,0,0,0,0,0,0.31299999,0.51099998,0.43068897,chocolate,No Form,None,0.09796899374000011,0,0,0,0.030664294060930096,0.038373474192771095,0,1,0,0.0,0.51099998,0.0,0.0,0.0,0.05006215384176018,0.0,0.0,0.0
Tootsie Roll Midgies,1,0,0,0,0,0,0,0,1,0.17399999,0.011,0.45736748,chocolate,pluribus,pluribus,0.030275996520000098,0,0,0,0.005268023091720052,-0.4616265058072289,0,0,0,0.0,0.011,0.0,0.0,0.0,0.0003330359617200011,0.0,0.0,0.011
Tootsie Roll Snack Bars,1,0,0,0,0,0,0,1,0,0.465,0.32499999,0.49653503,chocolate,bar,bar,0.21622500000000003,0,0,0,0.10054462500000001,-0.1476265158072289,1,0,0,0.0,0.32499999,0.0,0.0,0.0,0.07027312283775002,0.0,0.32499999,0.0
Trolli Sour Bites,0,1,0,0,0,0,0,0,1,0.31299999,0.255,0.47173229,fruity,pluribus,pluribus,0.09796899374000011,0,0,0,0.030664294060930096,-0.21762650580722892,0,0,0,0.255,0.0,0.0,0.0,0.0,0.02498209340370003,0.0,0.0,0.255
Twix,1,0,1,0,0,1,0,1,0,0.546,0.90600002,0.81642914,chocolate+caramel+crispedricewafer,bar,bar,0.29811600000000005,0,1,1,0.16277133600000004,0.4333735141927711,0,0,1,0.0,0.90600002,0.90600002,0.0,0.90600002,0.27009310196232006,0.0,0.90600002,0.0
Twizzlers,0,1,0,0,0,0,0,0,0,0.22,0.116,0.45466282,fruity,No Form,None,0.0484,0,0,0,0.010648,-0.35662650580722893,0,0,0,0.116,0.0,0.0,0.0,0.0,0.0056144,0.0,0.0,0.0
Warheads,0,1,0,0,0,0,1,0,0,0.093000002,0.116,0.39011898,fruity,hard,hard,0.008649000372000004,0,0,0,0.000804357051894001,-0.35662650580722893,0,0,0,0.116,0.0,0.0,0.0,0.0,0.0010032840431520005,0.116,0.0,0.0
Welch's Fruit Snacks,0,1,0,0,0,0,0,0,1,0.31299999,0.31299999,0.44375518999999997,fruity,pluribus,pluribus,0.09796899374000011,0,0,0,0.030664294060930096,-0.15962651580722892,1,0,0,0.31299999,0.0,0.0,0.0,0.0,0.030664294060930096,0.0,0.0,0.31299999
Werther's Original Caramel,0,0,1,0,0,0,1,0,0,0.186,0.26699999,0.41904308,caramel,hard,hard,0.034596,0,0,0,0.006434856,-0.2056265158072289,1,0,0,0.0,0.0,0.26699999,0.0,0.0,0.009237131654040002,0.26699999,0.0,0.0
Whoppers,1,0,0,0,0,1,0,0,1,0.87199998,0.84799999,0.49524113,chocolate+crispedricewafer,pluribus,pluribus,0.7603839651200004,0,1,0,0.663054802376961,0.3753734841927711,0,0,1,0.0,0.84799999,0.0,0.0,0.84799999,0.6448055948179207,0.0,0.0,0.84799999
